cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples,triage_bucket,triage_reason,next_gate
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),ADULT_ROLE_DEVICE,holding_condom,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|BODY_PART|EXPOSURE_INTIMATE,1,GENERAL_ONLY,BODY_PART,BODY_PART,(none),EXPOSURE_INTIMATE,pectoral_cleavage,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|BODY_PART|RESTRAINT_FETISH,1,GENERAL_ONLY,BODY_PART,BODY_PART,(none),RESTRAINT_FETISH,whip_marks,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/ACCESSORY|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),ADULT_ROLE_DEVICE,condom_belt,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/COSTUME|RESTRAINT_FETISH,1,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),RESTRAINT_FETISH,armored_collar,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/EVERYDAY|ANATOMY,1,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),ANATOMY,strap_between_breasts,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/UNIFORM|NONE,1,GENERAL_ONLY,CLOTHING/UNIFORM,CLOTHING,(none),NONE,marine_uniform_(one_piece),SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|CLOTHING|EXPOSURE_INTIMATE,1,GENERAL_ONLY,CLOTHING,CLOTHING,(none),EXPOSURE_INTIMATE,vertical-striped_panties,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|COLOR_APPEARANCE|ANATOMY,1,GENERAL_ONLY,COLOR_APPEARANCE,COLOR_APPEARANCE,(none),ANATOMY,shaped_pubic_hair,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|COLOR_APPEARANCE|RESTRAINT_FETISH,1,GENERAL_ONLY,COLOR_APPEARANCE,COLOR_APPEARANCE,(none),RESTRAINT_FETISH,rope_around_waist,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|EXPRESSION_EMOTION|INJURY,1,GENERAL_ONLY,EXPRESSION_EMOTION,EXPRESSION_EMOTION,(none),INJURY,major_injury_underreaction,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|GAZE_ORIENTATION|ANATOMY,1,GENERAL_ONLY,GAZE_ORIENTATION,GAZE_ORIENTATION,(none),ANATOMY,looking_at_crotch,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP/DAILY|EXPOSURE_INTIMATE,1,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),EXPOSURE_INTIMATE,shelf_bra,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP/DAILY|REPRO,1,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),REPRO,pregnancy_test,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,OBJECT_PROP,OBJECT_PROP,(none),ADULT_ROLE_DEVICE,colored_condom,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP|EXPLICIT_SEX,1,GENERAL_ONLY,OBJECT_PROP,OBJECT_PROP,(none),EXPLICIT_SEX,living_fleshlight,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|POSE_MOVEMENT|EXPOSURE_INTIMATE,1,GENERAL_ONLY,POSE_MOVEMENT,POSE_MOVEMENT,(none),EXPOSURE_INTIMATE,presenting_bra,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|STYLE_QUALITY_META|RESTRAINT_FETISH,1,GENERAL_ONLY,STYLE_QUALITY_META,STYLE_QUALITY_META,(none),RESTRAINT_FETISH,clamp_(circle)_(style),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|(none)|(none)|NONE,1,OVERLAP,(none),(none),(none),NONE,jinki-style_restrained,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|(none)|BODY_ATTRIBUTE|NONE,1,OVERLAP,(none),(none),BODY_ATTRIBUTE,NONE,fat_mons,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|(none)|FLUID_STATE_ACTION|NONE,1,OVERLAP,(none),(none),FLUID_STATE_ACTION,NONE,personality_excrement,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|(none)|POSE_COMPOSITION|NONE,1,OVERLAP,(none),(none),POSE_COMPOSITION,NONE,suspended_congress,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|(none)|RESTRAINT_ACTION|NONE,1,OVERLAP,(none),(none),RESTRAINT_ACTION,NONE,suspension,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|EXPOSURE_INTIMATE,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,ACTION_INTERACTION,EXPOSURE_INTIMATE,smelling_underwear,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|REPRO,1,OVERLAP,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,ACTION_INTERACTION,REPRO,holding_pregnancy_test,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|BODY_STATE|ANATOMY,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,BODY_STATE,ANATOMY,breasts_squeezed_together,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|BODY_STATE|NONE,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,BODY_STATE,NONE,gaping,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|BODY_STATE|REPRO,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,BODY_STATE,REPRO,after_birth,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|ANATOMY+EXPOSURE_INTIMATE,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CLOTHING_EXPOSURE,ANATOMY+EXPOSURE_INTIMATE,penis_in_panties,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|DAMAGE_STATE_ACTION|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,DAMAGE_STATE_ACTION,EXPLICIT_SEX,skull_fucking,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ADULT_ROLE_DEVICE+ANATOMY,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,DIRECT_COMPOSITE,ADULT_ROLE_DEVICE+ANATOMY,used_condom_on_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,FLUID_STATE_ACTION,EXPLICIT_SEX,bukkake,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,IMPLEMENT_OBJECT,EXPLICIT_SEX,onahole_job,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|ANATOMY+EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,INSERTION_STRUCTURED,ANATOMY+EXPLICIT_SEX,anal_fingering,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|POSE_COMPOSITION|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,POSE_COMPOSITION,EXPLICIT_SEX,piledriver_(sex),BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RELATION_ROLE_CONTEXT|RESTRAINT_FETISH,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RELATION_ROLE_CONTEXT,RESTRAINT_FETISH,dominator_(bdsm),BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY+RESTRAINT_FETISH,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,RESTRAINT_ACTION,ANATOMY+RESTRAINT_FETISH,breast_bondage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|ANATOMY,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RESTRAINT_IMPLEMENT,ANATOMY,anal_hook,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|(none)|ANATOMY+INJURY,1,OVERLAP,BODY_PART,BODY_PART,(none),ANATOMY+INJURY,blood_from_vagina,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|(none)|RESTRAINT_FETISH,1,OVERLAP,BODY_PART,BODY_PART,(none),RESTRAINT_FETISH,labia_clamps,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|ACTION_INTERACTION|ANATOMY,1,OVERLAP,BODY_PART,BODY_PART,ACTION_INTERACTION,ANATOMY,anal,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|IMPLEMENT_OBJECT|NONE,1,OVERLAP,BODY_PART,BODY_PART,IMPLEMENT_OBJECT,NONE,labia_piercing,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|INSERTION_STRUCTURED|NONE,1,OVERLAP,BODY_PART,BODY_PART,INSERTION_STRUCTURED,NONE,large_insertion,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|POSE_COMPOSITION|NONE,1,OVERLAP,BODY_PART,BODY_PART,POSE_COMPOSITION,NONE,knees_to_chest,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|REPRO_BODY_STATE|REPRO,1,OVERLAP,BODY_PART,BODY_PART,REPRO_BODY_STATE,REPRO,pregnant,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|ANATOMY+RESTRAINT_FETISH,1,OVERLAP,BODY_PART,BODY_PART,RESTRAINT_IMPLEMENT,ANATOMY+RESTRAINT_FETISH,leash_between_breasts,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|NONE,1,OVERLAP,BODY_PART,BODY_PART,RESTRAINT_IMPLEMENT,NONE,nose_hook,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,1,OVERLAP,BODY_PART,BODY_PART,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,tongue_clamp,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_STATE|ANATOMY,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_STATE,ANATOMY,covered_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_STATE|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_STATE,NONE,erection_under_clothes,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|ANATOMY+EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,ANATOMY+EXPOSURE_INTIMATE,panties_on_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|RESTRAINT_FETISH,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,RESTRAINT_FETISH,open_collar,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|CONTEXT_MODIFIER|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CONTEXT_MODIFIER,NONE,implied_nudity,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|IMPLEMENT_OBJECT|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,IMPLEMENT_OBJECT,NONE,unworn_butt_plug,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|INSERTION_STRUCTURED|EXPLICIT_SEX,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,INSERTION_STRUCTURED,EXPLICIT_SEX,fingering_through_clothes,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|INSERTION_STRUCTURED|EXPLICIT_SEX+EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,INSERTION_STRUCTURED,EXPLICIT_SEX+EXPOSURE_INTIMATE,fingering_through_panties,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|NONHUMAN_INTERACTION|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,NONHUMAN_INTERACTION,NONE,tentacles_under_clothes,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|POSE_COMPOSITION|EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,POSE_COMPOSITION,EXPOSURE_INTIMATE,upskirt,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|POSE_COMPOSITION|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,POSE_COMPOSITION,NONE,pantyshot,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|(none)|EXPLICIT_SEX,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),EXPLICIT_SEX,nursing_fingering,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|(none)|EXPLICIT_SEX+EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,(none),EXPLICIT_SEX+EXPOSURE_INTIMATE,fuck-me_pasties,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|ANATOMY,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,CLOTHING_EXPOSURE,ANATOMY,crotch_seam,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|IMPLEMENT_OBJECT|NONE,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,IMPLEMENT_OBJECT,NONE,cock_ring,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|POSE_COMPOSITION|EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,POSE_COMPOSITION,EXPOSURE_INTIMATE,downblouse,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|ANATOMY,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,ANATOMY,nipple_chain,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|ANATOMY+RESTRAINT_FETISH,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,ANATOMY+RESTRAINT_FETISH,crotch_rope,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|SELF_ACTION|NONE,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,SELF_ACTION,NONE,table_humping,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COLOR_APPEARANCE|(none)|NONE,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,(none),NONE,ornate_chastity_cage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COLOR_APPEARANCE|IMPLEMENT_OBJECT|ANATOMY,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,IMPLEMENT_OBJECT,ANATOMY,mismatched_nipple_piercing,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COLOR_APPEARANCE|POSE_COMPOSITION|NONE,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,POSE_COMPOSITION,NONE,folded,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COMPOSITION_CAMERA|(none)|ANATOMY,1,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,(none),ANATOMY,pussy_out_of_frame,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COMPOSITION_CAMERA|CAMERA_INTERNAL_VIEW|NONE,1,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,CAMERA_INTERNAL_VIEW,NONE,cross-section,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COMPOSITION_CAMERA|CLOTHING_EXPOSURE|NONE,1,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,CLOTHING_EXPOSURE,NONE,view_between_legs,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|BODY_ATTRIBUTE|ANATOMY,1,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,BODY_ATTRIBUTE,ANATOMY,penis_awe,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|BODY_STATE|NONE,1,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,BODY_STATE,NONE,unconscious,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|REACTION_STATE|EXPLICIT_SEX,1,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,REACTION_STATE,EXPLICIT_SEX,rape_face,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|RELATION_ROLE_CONTEXT|NONE,1,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,RELATION_ROLE_CONTEXT,NONE,masochism,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|RESTRAINT_ACTION|NONE,1,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,RESTRAINT_ACTION,NONE,humiliation,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|HAIR_FACE|NONHUMAN_INTERACTION|NONE,1,OVERLAP,HAIR_FACE,HAIR_FACE,NONHUMAN_INTERACTION,NONE,tentacle_hair,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|LIVING_NATURE|(none)|RESTRAINT_FETISH,1,OVERLAP,LIVING_NATURE/CREATURE,LIVING_NATURE,(none),RESTRAINT_FETISH,snake_bondage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|LIVING_NATURE|DAMAGE_STATE_ACTION|NONE,1,OVERLAP,LIVING_NATURE/CREATURE,LIVING_NATURE,DAMAGE_STATE_ACTION,NONE,skeleton,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|LIVING_NATURE|INSERTION_STRUCTURED|NONE,1,OVERLAP,LIVING_NATURE/CREATURE,LIVING_NATURE,INSERTION_STRUCTURED,NONE,impaled,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
